Episode 32900/100000 | Avg Score: 23299.52 | Success Rate: 0.54
Episode 33000/100000 | Avg Score: 25849.32 | Success Rate: 0.62
Episode 33100/100000 | Avg Score: 22727.84 | Success Rate: 0.49
Episode 33200/100000 | Avg Score: 22882.12 | Success Rate: 0.46
Episode 33300/100000 | Avg Score: 24588.68 | Success Rate: 0.51
Episode 33400/100000 | Avg Score: 25048.56 | Success Rate: 0.51
Episode 33500/100000 | Avg Score: 23200.88 | Success Rate: 0.48
Episode 33600/100000 | Avg Score: 24029.08 | Success Rate: 0.52
Episode 33700/100000 | Avg Score: 24055.76 | Success Rate: 0.49
Episode 33800/100000 | Avg Score: 22639.52 | Success Rate: 0.52
Episode 33900/100000 | Avg Score: 24158.52 | Success Rate: 0.54
Episode 34000/100000 | Avg Score: 25291.52 | Success Rate: 0.59
Episode 34100/100000 | Avg Score: 23541.16 | Success Rate: 0.57
Episode 34200/100000 | Avg Score: 24218.16 | Success Rate: 0.55
Episode 34300/100000 | Avg Score: 24946.88 | Success Rate: 0.57
Episode 34400/100000 | Avg Score: 25261.08 | Success Rate: 0.62
Episode 34500/100000 | Avg Score: 22336.04 | Success Rate: 0.53
Episode 34600/100000 | Avg Score: 22378.48 | Success Rate: 0.45
Episode 34700/100000 | Avg Score: 24822.08 | Success Rate: 0.58
Episode 34800/100000 | Avg Score: 25021.72 | Success Rate: 0.52
Episode 34900/100000 | Avg Score: 24425.88 | Success Rate: 0.53
Episode 35000/100000 | Avg Score: 24572.80 | Success Rate: 0.61
Episode 35100/100000 | Avg Score: 24188.32 | Success Rate: 0.53
Episode 35200/100000 | Avg Score: 26183.60 | Success Rate: 0.58
Episode 35300/100000 | Avg Score: 23347.40 | Success Rate: 0.45
Episode 35400/100000 | Avg Score: 24979.68 | Success Rate: 0.55
Episode 35500/100000 | Avg Score: 23850.12 | Success Rate: 0.53
Episode 35600/100000 | Avg Score: 23313.92 | Success Rate: 0.52
Episode 35700/100000 | Avg Score: 21950.88 | Success Rate: 0.49
Episode 35800/100000 | Avg Score: 23638.28 | Success Rate: 0.49
Episode 35900/100000 | Avg Score: 24621.56 | Success Rate: 0.50
Episode 36000/100000 | Avg Score: 24505.36 | Success Rate: 0.50
Episode 36100/100000 | Avg Score: 21965.36 | Success Rate: 0.46
Episode 36200/100000 | Avg Score: 24664.64 | Success Rate: 0.51
Episode 36300/100000 | Avg Score: 22158.76 | Success Rate: 0.43
Episode 36400/100000 | Avg Score: 23915.84 | Success Rate: 0.52
Episode 36500/100000 | Avg Score: 26434.56 | Success Rate: 0.62
Episode 36600/100000 | Avg Score: 23915.32 | Success Rate: 0.51
Episode 36700/100000 | Avg Score: 24010.64 | Success Rate: 0.57
Episode 36800/100000 | Avg Score: 25096.64 | Success Rate: 0.62
Episode 36900/100000 | Avg Score: 23013.08 | Success Rate: 0.56
Episode 37000/100000 | Avg Score: 22672.32 | Success Rate: 0.55
Episode 37100/100000 | Avg Score: 22783.24 | Success Rate: 0.50
Episode 37200/100000 | Avg Score: 23136.84 | Success Rate: 0.48
Episode 37300/100000 | Avg Score: 23512.20 | Success Rate: 0.50
Episode 37400/100000 | Avg Score: 24014.80 | Success Rate: 0.53
Episode 37500/100000 | Avg Score: 24709.80 | Success Rate: 0.63
Episode 37600/100000 | Avg Score: 26844.28 | Success Rate: 0.54
Episode 37700/100000 | Avg Score: 23051.04 | Success Rate: 0.55
Episode 37800/100000 | Avg Score: 23286.28 | Success Rate: 0.49
Episode 37900/100000 | Avg Score: 22733.72 | Success Rate: 0.49
Episode 38000/100000 | Avg Score: 24173.72 | Success Rate: 0.59
Episode 38100/100000 | Avg Score: 24030.28 | Success Rate: 0.55
Episode 38200/100000 | Avg Score: 24329.80 | Success Rate: 0.57
Episode 38300/100000 | Avg Score: 24445.24 | Success Rate: 0.54
Episode 38400/100000 | Avg Score: 26324.40 | Success Rate: 0.56
Episode 38500/100000 | Avg Score: 28019.52 | Success Rate: 0.61
Episode 38600/100000 | Avg Score: 26541.08 | Success Rate: 0.62
Episode 38700/100000 | Avg Score: 24464.60 | Success Rate: 0.55
Episode 38800/100000 | Avg Score: 23774.60 | Success Rate: 0.49
Episode 38900/100000 | Avg Score: 26363.84 | Success Rate: 0.56
Episode 39000/100000 | Avg Score: 24861.84 | Success Rate: 0.57
Episode 39100/100000 | Avg Score: 23574.56 | Success Rate: 0.51
Episode 39200/100000 | Avg Score: 23252.36 | Success Rate: 0.46
Episode 39300/100000 | Avg Score: 24377.52 | Success Rate: 0.58
Episode 39400/100000 | Avg Score: 26254.88 | Success Rate: 0.55
Episode 39500/100000 | Avg Score: 23608.72 | Success Rate: 0.58
Episode 39600/100000 | Avg Score: 24033.04 | Success Rate: 0.49
Episode 39700/100000 | Avg Score: 23640.60 | Success Rate: 0.52
Episode 39800/100000 | Avg Score: 24669.52 | Success Rate: 0.55
Episode 39900/100000 | Avg Score: 21842.24 | Success Rate: 0.45
Episode 40000/100000 | Avg Score: 25028.36 | Success Rate: 0.58
