Episode 20700/100000 | Avg Score: 15256.24 | Success Rate: 0.18
Episode 20800/100000 | Avg Score: 15386.24 | Success Rate: 0.13
Episode 20900/100000 | Avg Score: 15726.20 | Success Rate: 0.15
Episode 21000/100000 | Avg Score: 15441.92 | Success Rate: 0.17
Episode 21100/100000 | Avg Score: 13647.48 | Success Rate: 0.08
Episode 21200/100000 | Avg Score: 15518.36 | Success Rate: 0.14
Episode 21300/100000 | Avg Score: 14364.80 | Success Rate: 0.10
Episode 21400/100000 | Avg Score: 14515.28 | Success Rate: 0.14
Episode 21500/100000 | Avg Score: 15398.84 | Success Rate: 0.18
Episode 21600/100000 | Avg Score: 15413.16 | Success Rate: 0.19
Episode 21700/100000 | Avg Score: 15861.20 | Success Rate: 0.14
Episode 21800/100000 | Avg Score: 15028.60 | Success Rate: 0.15
Episode 21900/100000 | Avg Score: 16059.28 | Success Rate: 0.20
Episode 22000/100000 | Avg Score: 15831.60 | Success Rate: 0.17
Episode 22100/100000 | Avg Score: 15633.72 | Success Rate: 0.17
Episode 22200/100000 | Avg Score: 16274.24 | Success Rate: 0.16
Episode 22300/100000 | Avg Score: 15894.28 | Success Rate: 0.14
Episode 22400/100000 | Avg Score: 17047.12 | Success Rate: 0.26
Episode 22500/100000 | Avg Score: 15185.88 | Success Rate: 0.13
Episode 22600/100000 | Avg Score: 16351.44 | Success Rate: 0.22
Episode 22700/100000 | Avg Score: 15185.04 | Success Rate: 0.18
Episode 22800/100000 | Avg Score: 16013.68 | Success Rate: 0.18
Episode 22900/100000 | Avg Score: 15682.64 | Success Rate: 0.19
Episode 23000/100000 | Avg Score: 16011.72 | Success Rate: 0.20
Episode 23100/100000 | Avg Score: 16073.44 | Success Rate: 0.18
Episode 23200/100000 | Avg Score: 15039.88 | Success Rate: 0.14
Episode 23300/100000 | Avg Score: 15913.44 | Success Rate: 0.16
Episode 23400/100000 | Avg Score: 15578.36 | Success Rate: 0.22
Episode 23500/100000 | Avg Score: 15683.92 | Success Rate: 0.16
Episode 23600/100000 | Avg Score: 15496.28 | Success Rate: 0.18
Episode 23700/100000 | Avg Score: 14640.72 | Success Rate: 0.16
Episode 23800/100000 | Avg Score: 16240.84 | Success Rate: 0.24
Episode 23900/100000 | Avg Score: 16535.72 | Success Rate: 0.18
Episode 24000/100000 | Avg Score: 17799.08 | Success Rate: 0.27
Episode 24100/100000 | Avg Score: 15918.32 | Success Rate: 0.19
Episode 24200/100000 | Avg Score: 16151.00 | Success Rate: 0.22
Episode 24300/100000 | Avg Score: 15355.60 | Success Rate: 0.16
Episode 24400/100000 | Avg Score: 16076.36 | Success Rate: 0.16
Episode 24500/100000 | Avg Score: 15802.80 | Success Rate: 0.19
Episode 24600/100000 | Avg Score: 15290.12 | Success Rate: 0.18
Episode 24700/100000 | Avg Score: 16193.28 | Success Rate: 0.19
Episode 24800/100000 | Avg Score: 15577.28 | Success Rate: 0.17
Episode 24900/100000 | Avg Score: 17160.48 | Success Rate: 0.27
Episode 25000/100000 | Avg Score: 17047.20 | Success Rate: 0.21
Episode 25100/100000 | Avg Score: 16802.32 | Success Rate: 0.21
Episode 25200/100000 | Avg Score: 15980.08 | Success Rate: 0.19
Episode 25300/100000 | Avg Score: 16845.00 | Success Rate: 0.23
Episode 25400/100000 | Avg Score: 16698.08 | Success Rate: 0.25
Episode 25500/100000 | Avg Score: 17474.00 | Success Rate: 0.29
Episode 25600/100000 | Avg Score: 14644.04 | Success Rate: 0.14
Episode 25700/100000 | Avg Score: 15376.76 | Success Rate: 0.18
Episode 25800/100000 | Avg Score: 16758.92 | Success Rate: 0.23
Episode 25900/100000 | Avg Score: 15798.44 | Success Rate: 0.20
Episode 26000/100000 | Avg Score: 15230.24 | Success Rate: 0.17
Episode 26100/100000 | Avg Score: 15390.72 | Success Rate: 0.17
Episode 26200/100000 | Avg Score: 15285.12 | Success Rate: 0.17
Episode 26300/100000 | Avg Score: 15848.68 | Success Rate: 0.23
Episode 26400/100000 | Avg Score: 16169.08 | Success Rate: 0.22
Episode 26500/100000 | Avg Score: 16590.28 | Success Rate: 0.20
Episode 26600/100000 | Avg Score: 17254.44 | Success Rate: 0.29
